model	batch_number	within_batch_id	commonsense_level	anonymized_worker_id	completion_time	rating_label	rating_expl	rating_grammar	rating_commonsense	pairID	premise	hypothesis	pred_label	pred_expl	gt_label	gt_expl
comet	1	7	low	8689910435875261909	17.3	correct	wrong	wrong	yes	3388330419.jpg#3r1e	two little girls dancing on the floor	Two kids jiving on the dance floor .	neutral	dancing does not imply dancing	neutral	kids can dance without jiving .
comet	1	8	high	8689910435875261909	17.3	correct	wrong	wrong	yes	4696106624.jpg#0r1n	A man , boy and a white dog are looking at a display of postcards .	A man has his boy and his dog out enjoying time spent together while shopping .	neutral	just because a man and a boy are looking at a dog does not mean they are enjoying their dog	neutral	only because persons are looking at a display of postcards does n't necessary imply they are shopping .
comet	1	9	low	8689910435875261909	17.3	correct	wrong	wrong	no	3726170067.jpg#1r1e	A balding man with glasses stands in front of a colorful display .	A person is standing upright .	entailment	a man is a person	entailment	a man is a person ; that a man stands establishes that a person is standing ; standing is 'upright ' by default ; if it were n't upright there would be a verb more appropriate than 'standing ' .
comet	1	10	high	8689910435875261909	17.3	correct	wrong	wrong	no	2897978268.jpg#2r1n	A man visiting a friend in the hospital .	A man and a patient in a hospital room .	entailment	a man is a guy and a hospital is a hospital	entailment	visiting a friend who is a patient usually happen in the hospital .
comet	1	1	low	2857902340789627027	2.17	correct	correct	correct	no_need	4898966335.jpg#1r1c	A young girl in glasses observes something in the distance .	A girl sleeping on the ground .	contradiction	a girl who sleeps can not be the same as a girl who sleeps	contradiction	the girl can not be sleeping while she observes something in the distance .
comet	1	2	high	2857902340789627027	2.17	correct	correct	correct	no_need	4519321887.jpg#3r1n	A couple of females are talking to each other while one is flicking her cigarette .	The other likes to smoke as well .	neutral	not all women who smoke each other	neutral	you can not infer they like to smoke .
comet	1	3	low	2857902340789627027	2.17	correct	correct	correct	no_need	2563225490.jpg#1r1c	A person is posed with one leg raised and one arm out at a competition with their teammates in the background .	A man posed with both arms out at a competition .	entailment	a man is a person	contradiction	one leg raised and one arm out versus both arms out .
comet	1	4	high	2857902340789627027	2.17	correct	correct	correct	no_need	5504028572.jpg#1r1e	A young boy sits curiously on a rock near the water , looking at his reflection .	A kid is outside looking into the water .	entailment	a young boy is a kid and a kid is a kid ; if he is sitting on a rock , he is outside	entailment	a kid sitting on a rock near water and looking at his reflection is obviously outside
comet	1	5	low	2857902340789627027	2.17	correct	correct	correct	no_need	517259709.jpg#4r1c	A man grilling a hamburger .	The man is swimming at the bottom of the ocean .	contradiction	the man can not be swimming and grilling at the same time	contradiction	grilling and swimming are different activities ;  one can not be grilling a hamburger while at the bottom of the ocean .
comet	1	6	high	2857902340789627027	2.17	correct	correct	correct	no_need	8169402416.jpg#0r1n	Two performers , one man playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .	The man and woman are doing karaoke together at a bar .	neutral	just because a man and woman are performing together does not mean they are performing karaoke together	neutral	not all woman performing are doing karaoke and the setting is not necessarily a bar .
comet	1	7	low	2857902340789627027	2.17	correct	correct	correct	no_need	3388330419.jpg#3r1e	two little girls dancing on the floor	Two kids jiving on the dance floor .	neutral	dancing does not imply dancing	neutral	kids can dance without jiving .
comet	1	8	high	2857902340789627027	2.17	correct	correct	correct	no_need	4696106624.jpg#0r1n	A man , boy and a white dog are looking at a display of postcards .	A man has his boy and his dog out enjoying time spent together while shopping .	neutral	just because a man and a boy are looking at a dog does not mean they are enjoying their dog	neutral	only because persons are looking at a display of postcards does n't necessary imply they are shopping .
comet	1	9	low	2857902340789627027	2.17	correct	correct	correct	no_need	3726170067.jpg#1r1e	A balding man with glasses stands in front of a colorful display .	A person is standing upright .	entailment	a man is a person	entailment	a man is a person ; that a man stands establishes that a person is standing ; standing is 'upright ' by default ; if it were n't upright there would be a verb more appropriate than 'standing ' .
comet	1	10	high	2857902340789627027	2.17	correct	correct	correct	no_need	2897978268.jpg#2r1n	A man visiting a friend in the hospital .	A man and a patient in a hospital room .	entailment	a man is a guy and a hospital is a hospital	entailment	visiting a friend who is a patient usually happen in the hospital .
comet	10	1	low	7190651464857067438	18.53	correct	correct	correct	yes	45427454.jpg#4r1n	A man is repairing roof shingles .	A guy is fixing the roof and falls off .	neutral	a man can fix off a roof without falling off	neutral	a guy who is fell off was fixing the chimney on roof .
comet	10	2	high	7190651464857067438	18.53	correct	correct	correct	yes	4701188650.jpg#2r1n	Man sitting on bench with a suitcase in front of PADDINGTON sign .	A man taking a break	neutral	a man sitting on a bench does not imply he is taking a break	neutral	you can be sitting on a bench without taking a break .
comet	10	3	low	7190651464857067438	18.53	correct	correct	correct	yes	311619377.jpg#3r1c	A woman looks at a plate filled with steam .	The woman is out shopping at the mall .	contradiction	a woman can not look at a plate with a shopping cart and be at a mall	contradiction	plate filled with steam would not be found a shopping mall .
comet	10	4	high	7190651464857067438	18.53	correct	correct	correct	yes	7617087498.jpg#1r1n	A young man in a white hat is playing golf with an older man wearing a blue , long - sleeved shirt and khakis .	There is an older man teaching his grandson how to play golf .	neutral	the man is not necessarily playing golf	neutral	older mean helping younger men are not always teaching their grandson .
comet	10	5	low	7190651464857067438	18.53	correct	correct	correct	yes	3225037367.jpg#2r1e	A group of people gather around a truck .	A group are gathered near a vehicle .	entailment	a truck is a vehicle	entailment	group of people are a group , around a truck is a paraphrase of near a vehicle .
comet	10	6	high	7190651464857067438	18.53	correct	correct	correct	yes	2338798208.jpg#2r1e	Three women are smiling and making cupcakes .	The three women are happy about baking cupcakes .	entailment	three women are happy and happy is happy	entailment	smiling is gesture that explains happiness .
comet	10	7	low	7190651464857067438	18.53	correct	correct	correct	yes	608257195.jpg#0r1e	A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods .	A boy in orange rides his dirt bike .	entailment	a boy in a dirt bike is a boy who is riding a dirt bike	entailment	dressed in an orange shirt is a boy in orange .
comet	10	8	high	7190651464857067438	18.53	correct	correct	correct	yes	38476490.jpg#1r1c	3 girls chatting and laughing on the stairwell .	Girls are not having a good time .	contradiction	the girls are either laughing or not having a good time	contradiction	not having a good time versus laughing .
comet	10	9	low	7190651464857067438	18.53	correct	correct	correct	yes	5269420231.jpg#2r1n	A young girl , is mid jump , while performing a dance routine .	A young girl is dancing .	entailment	a girl performing a dance routine is dancing	entailment	a girl performing a dance routine is dancing .
comet	10	10	high	7190651464857067438	18.53	correct	correct	correct	yes	6273115722.jpg#1r1e	A female camera operator is capturing some off - camera activity .	A lady is taking a picture	entailment	a female is a female ; a camera is a camera	entailment	if a lady is taking a picture she must be a camera operator .
comet	10	1	low	1431892843822408775	1.88	correct	wrong	correct	yes	45427454.jpg#4r1n	A man is repairing roof shingles .	A guy is fixing the roof and falls off .	neutral	a man can fix off a roof without falling off	neutral	a guy who is fell off was fixing the chimney on roof .
comet	10	2	high	1431892843822408775	1.88	correct	correct	correct	yes	4701188650.jpg#2r1n	Man sitting on bench with a suitcase in front of PADDINGTON sign .	A man taking a break	neutral	a man sitting on a bench does not imply he is taking a break	neutral	you can be sitting on a bench without taking a break .
comet	10	3	low	1431892843822408775	1.88	correct	correct	correct	yes	311619377.jpg#3r1c	A woman looks at a plate filled with steam .	The woman is out shopping at the mall .	contradiction	a woman can not look at a plate with a shopping cart and be at a mall	contradiction	plate filled with steam would not be found a shopping mall .
comet	10	4	high	1431892843822408775	1.88	correct	correct	correct	yes	7617087498.jpg#1r1n	A young man in a white hat is playing golf with an older man wearing a blue , long - sleeved shirt and khakis .	There is an older man teaching his grandson how to play golf .	neutral	the man is not necessarily playing golf	neutral	older mean helping younger men are not always teaching their grandson .
comet	10	5	low	1431892843822408775	1.88	correct	correct	correct	yes	3225037367.jpg#2r1e	A group of people gather around a truck .	A group are gathered near a vehicle .	entailment	a truck is a vehicle	entailment	group of people are a group , around a truck is a paraphrase of near a vehicle .
comet	10	6	high	1431892843822408775	1.88	correct	correct	correct	yes	2338798208.jpg#2r1e	Three women are smiling and making cupcakes .	The three women are happy about baking cupcakes .	entailment	three women are happy and happy is happy	entailment	smiling is gesture that explains happiness .
comet	10	7	low	1431892843822408775	1.88	correct	correct	correct	no	608257195.jpg#0r1e	A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods .	A boy in orange rides his dirt bike .	entailment	a boy in a dirt bike is a boy who is riding a dirt bike	entailment	dressed in an orange shirt is a boy in orange .
comet	10	8	high	1431892843822408775	1.88	correct	correct	correct	yes	38476490.jpg#1r1c	3 girls chatting and laughing on the stairwell .	Girls are not having a good time .	contradiction	the girls are either laughing or not having a good time	contradiction	not having a good time versus laughing .
comet	10	9	low	1431892843822408775	1.88	correct	correct	correct	yes	5269420231.jpg#2r1n	A young girl , is mid jump , while performing a dance routine .	A young girl is dancing .	entailment	a girl performing a dance routine is dancing	entailment	a girl performing a dance routine is dancing .
comet	10	10	high	1431892843822408775	1.88	correct	correct	correct	yes	6273115722.jpg#1r1e	A female camera operator is capturing some off - camera activity .	A lady is taking a picture	entailment	a female is a female ; a camera is a camera	entailment	if a lady is taking a picture she must be a camera operator .
comet	10	1	low	6119625657796953485	10.75	wrong	wrong	correct	yes	45427454.jpg#4r1n	A man is repairing roof shingles .	A guy is fixing the roof and falls off .	neutral	a man can fix off a roof without falling off	neutral	a guy who is fell off was fixing the chimney on roof .
comet	10	2	high	6119625657796953485	10.75	correct	correct	correct	yes	4701188650.jpg#2r1n	Man sitting on bench with a suitcase in front of PADDINGTON sign .	A man taking a break	neutral	a man sitting on a bench does not imply he is taking a break	neutral	you can be sitting on a bench without taking a break .
comet	10	3	low	6119625657796953485	10.75	wrong	wrong	correct	yes	311619377.jpg#3r1c	A woman looks at a plate filled with steam .	The woman is out shopping at the mall .	contradiction	a woman can not look at a plate with a shopping cart and be at a mall	contradiction	plate filled with steam would not be found a shopping mall .
comet	10	4	high	6119625657796953485	10.75	wrong	wrong	correct	yes	7617087498.jpg#1r1n	A young man in a white hat is playing golf with an older man wearing a blue , long - sleeved shirt and khakis .	There is an older man teaching his grandson how to play golf .	neutral	the man is not necessarily playing golf	neutral	older mean helping younger men are not always teaching their grandson .
comet	10	5	low	6119625657796953485	10.75	correct	wrong	correct	yes	3225037367.jpg#2r1e	A group of people gather around a truck .	A group are gathered near a vehicle .	entailment	a truck is a vehicle	entailment	group of people are a group , around a truck is a paraphrase of near a vehicle .
comet	10	6	high	6119625657796953485	10.75	correct	correct	wrong	no	2338798208.jpg#2r1e	Three women are smiling and making cupcakes .	The three women are happy about baking cupcakes .	entailment	three women are happy and happy is happy	entailment	smiling is gesture that explains happiness .
comet	10	7	low	6119625657796953485	10.75	correct	correct	wrong	yes	608257195.jpg#0r1e	A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods .	A boy in orange rides his dirt bike .	entailment	a boy in a dirt bike is a boy who is riding a dirt bike	entailment	dressed in an orange shirt is a boy in orange .
comet	10	8	high	6119625657796953485	10.75	correct	correct	correct	yes	38476490.jpg#1r1c	3 girls chatting and laughing on the stairwell .	Girls are not having a good time .	contradiction	the girls are either laughing or not having a good time	contradiction	not having a good time versus laughing .
comet	10	9	low	6119625657796953485	10.75	correct	correct	wrong	yes	5269420231.jpg#2r1n	A young girl , is mid jump , while performing a dance routine .	A young girl is dancing .	entailment	a girl performing a dance routine is dancing	entailment	a girl performing a dance routine is dancing .
comet	10	10	high	6119625657796953485	10.75	wrong	wrong	wrong	yes	6273115722.jpg#1r1e	A female camera operator is capturing some off - camera activity .	A lady is taking a picture	entailment	a female is a female ; a camera is a camera	entailment	if a lady is taking a picture she must be a camera operator .
comet	10	1	low	1259211998225222659	14.62	correct	correct	correct	yes	45427454.jpg#4r1n	A man is repairing roof shingles .	A guy is fixing the roof and falls off .	neutral	a man can fix off a roof without falling off	neutral	a guy who is fell off was fixing the chimney on roof .
comet	10	2	high	1259211998225222659	14.62	correct	correct	correct	yes	4701188650.jpg#2r1n	Man sitting on bench with a suitcase in front of PADDINGTON sign .	A man taking a break	neutral	a man sitting on a bench does not imply he is taking a break	neutral	you can be sitting on a bench without taking a break .
comet	10	3	low	1259211998225222659	14.62	correct	correct	correct	yes	311619377.jpg#3r1c	A woman looks at a plate filled with steam .	The woman is out shopping at the mall .	contradiction	a woman can not look at a plate with a shopping cart and be at a mall	contradiction	plate filled with steam would not be found a shopping mall .
comet	10	4	high	1259211998225222659	14.62	wrong	correct	correct	no_need	7617087498.jpg#1r1n	A young man in a white hat is playing golf with an older man wearing a blue , long - sleeved shirt and khakis .	There is an older man teaching his grandson how to play golf .	neutral	the man is not necessarily playing golf	neutral	older mean helping younger men are not always teaching their grandson .
comet	10	5	low	1259211998225222659	14.62	correct	correct	correct	yes	3225037367.jpg#2r1e	A group of people gather around a truck .	A group are gathered near a vehicle .	entailment	a truck is a vehicle	entailment	group of people are a group , around a truck is a paraphrase of near a vehicle .
comet	10	6	high	1259211998225222659	14.62	correct	correct	correct	yes	2338798208.jpg#2r1e	Three women are smiling and making cupcakes .	The three women are happy about baking cupcakes .	entailment	three women are happy and happy is happy	entailment	smiling is gesture that explains happiness .
comet	10	7	low	1259211998225222659	14.62	correct	correct	correct	yes	608257195.jpg#0r1e	A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods .	A boy in orange rides his dirt bike .	entailment	a boy in a dirt bike is a boy who is riding a dirt bike	entailment	dressed in an orange shirt is a boy in orange .
comet	10	8	high	1259211998225222659	14.62	correct	correct	correct	yes	38476490.jpg#1r1c	3 girls chatting and laughing on the stairwell .	Girls are not having a good time .	contradiction	the girls are either laughing or not having a good time	contradiction	not having a good time versus laughing .
comet	10	9	low	1259211998225222659	14.62	correct	correct	correct	yes	5269420231.jpg#2r1n	A young girl , is mid jump , while performing a dance routine .	A young girl is dancing .	entailment	a girl performing a dance routine is dancing	entailment	a girl performing a dance routine is dancing .
comet	10	10	high	1259211998225222659	14.62	correct	correct	correct	yes	6273115722.jpg#1r1e	A female camera operator is capturing some off - camera activity .	A lady is taking a picture	entailment	a female is a female ; a camera is a camera	entailment	if a lady is taking a picture she must be a camera operator .
comet	10	1	low	3872551790966624314	13.02	correct	correct	correct	yes	45427454.jpg#4r1n	A man is repairing roof shingles .	A guy is fixing the roof and falls off .	neutral	a man can fix off a roof without falling off	neutral	a guy who is fell off was fixing the chimney on roof .
comet	10	2	high	3872551790966624314	13.02	correct	correct	correct	yes	4701188650.jpg#2r1n	Man sitting on bench with a suitcase in front of PADDINGTON sign .	A man taking a break	neutral	a man sitting on a bench does not imply he is taking a break	neutral	you can be sitting on a bench without taking a break .
comet	10	3	low	3872551790966624314	13.02	correct	correct	correct	yes	311619377.jpg#3r1c	A woman looks at a plate filled with steam .	The woman is out shopping at the mall .	contradiction	a woman can not look at a plate with a shopping cart and be at a mall	contradiction	plate filled with steam would not be found a shopping mall .
comet	10	4	high	3872551790966624314	13.02	correct	correct	correct	yes	7617087498.jpg#1r1n	A young man in a white hat is playing golf with an older man wearing a blue , long - sleeved shirt and khakis .	There is an older man teaching his grandson how to play golf .	neutral	the man is not necessarily playing golf	neutral	older mean helping younger men are not always teaching their grandson .
comet	10	5	low	3872551790966624314	13.02	correct	correct	correct	yes	3225037367.jpg#2r1e	A group of people gather around a truck .	A group are gathered near a vehicle .	entailment	a truck is a vehicle	entailment	group of people are a group , around a truck is a paraphrase of near a vehicle .
comet	10	6	high	3872551790966624314	13.02	correct	correct	correct	yes	2338798208.jpg#2r1e	Three women are smiling and making cupcakes .	The three women are happy about baking cupcakes .	entailment	three women are happy and happy is happy	entailment	smiling is gesture that explains happiness .
comet	10	7	low	3872551790966624314	13.02	correct	correct	correct	yes	608257195.jpg#0r1e	A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods .	A boy in orange rides his dirt bike .	entailment	a boy in a dirt bike is a boy who is riding a dirt bike	entailment	dressed in an orange shirt is a boy in orange .
comet	10	8	high	3872551790966624314	13.02	correct	correct	wrong	yes	38476490.jpg#1r1c	3 girls chatting and laughing on the stairwell .	Girls are not having a good time .	contradiction	the girls are either laughing or not having a good time	contradiction	not having a good time versus laughing .
comet	10	9	low	3872551790966624314	13.02	correct	correct	correct	yes	5269420231.jpg#2r1n	A young girl , is mid jump , while performing a dance routine .	A young girl is dancing .	entailment	a girl performing a dance routine is dancing	entailment	a girl performing a dance routine is dancing .
comet	10	10	high	3872551790966624314	13.02	correct	correct	correct	yes	6273115722.jpg#1r1e	A female camera operator is capturing some off - camera activity .	A lady is taking a picture	entailment	a female is a female ; a camera is a camera	entailment	if a lady is taking a picture she must be a camera operator .
comet	2	1	low	7772108068115191079	16.45	correct	correct	correct	no_need	447800028.jpg#3r1c	Dog running with a purple toy in the snowy field .	A dog is sitting on a table .	contradiction	a dog can not be running and sitting at the same time	contradiction	the dog is either sitting or running , but not both .
comet	2	2	high	7772108068115191079	16.45	correct	correct	correct	no_need	2131732576.jpg#2r1n	There is one man with light blue jeans on , and one with dark blue jeans on that are walking down the street .	Two men are wearing jeans for a jean advertisement .	neutral	just because two men are wearing jeans and one man in jeans does not mean they are wearing a blue jeans and a blue shirt	entailment	the men are wearing blue jeans and walking down the street because they are in a jean advertisement .
comet	2	3	low	7772108068115191079	16.45	correct	correct	correct	no_need	4684706810.jpg#3r1e	A little baby wearing a blue outfit is grabbing some fruit .	A little baby is wearing blue .	entailment	a baby wearing a blue outfit is wearing blue	entailment	blue outfit means that the baby is wearing something blue
comet	2	4	high	7772108068115191079	16.45	correct	correct	correct	no_need	109380144.jpg#3r1e	A girl playfully kicks a guy in the face while another person makes faces .	A girl is play fighting .	entailment	a girl who kicks another girl is playing	entailment	playfully kicks is a form of play fighting .
comet	2	5	low	7772108068115191079	16.45	correct	correct	correct	no_need	7788997944.jpg#3r1c	Two people are participating in the sport fencing .	Two people playing dodgeball	contradiction	the people can not be playing lacrosse and fencing at the same time	contradiction	either they are fencing or playing dodgeball .
comet	2	6	high	7772108068115191079	16.45	correct	correct	correct	no_need	200797624.jpg#4r1n	Army men grilling a lot of meat while his troop looks on .	The men here will eat a lot of food soon .	entailment	a lot of men implies that they are eating a meal of meat	neutral	just because someone is grilling does not mean the men will eat a lot of food soon .
comet	2	7	low	7772108068115191079	16.45	correct	correct	correct	no_need	2900274587.jpg#0r1e	A water scene with a sunset in the background .	There is a water scene with the sunset in the back .	entailment	in a both sentence , a sunset is in the background	entailment	in there water scene there is a sunset in the back , which is called the background .
comet	2	8	high	7772108068115191079	16.45	correct	correct	correct	no_need	3454728570.jpg#2r1e	Families with strollers waiting in front of a carousel .	Some people are outside	entailment	people are in front of a carousel	entailment	families are some people .
comet	2	9	low	7772108068115191079	16.45	correct	correct	correct	no_need	3599568766.jpg#1r1c	A white dog with brown spots running on a dirt path	A black dog walks on a concrete path .	contradiction	a white dog is not a black dog ; a dirt path is not a dirt path	contradiction	the dog is either black or white ;  it either walks or is running .
comet	2	10	high	7772108068115191079	16.45	correct	correct	correct	no_need	1785224814.jpg#1r1n	People ordering and picking up food at a restaurant window .	These people are hungry .	neutral	people can be hungry and not be hungry	neutral	people can order and pick up food when they are not hungry .
comet	2	1	low	2903656532011336349	5.98	correct	correct	correct	no_need	447800028.jpg#3r1c	Dog running with a purple toy in the snowy field .	A dog is sitting on a table .	contradiction	a dog can not be running and sitting at the same time	contradiction	the dog is either sitting or running , but not both .
comet	2	2	high	2903656532011336349	5.98	correct	correct	correct	no	2131732576.jpg#2r1n	There is one man with light blue jeans on , and one with dark blue jeans on that are walking down the street .	Two men are wearing jeans for a jean advertisement .	neutral	just because two men are wearing jeans and one man in jeans does not mean they are wearing a blue jeans and a blue shirt	entailment	the men are wearing blue jeans and walking down the street because they are in a jean advertisement .
comet	2	3	low	2903656532011336349	5.98	wrong	correct	correct	yes	4684706810.jpg#3r1e	A little baby wearing a blue outfit is grabbing some fruit .	A little baby is wearing blue .	entailment	a baby wearing a blue outfit is wearing blue	entailment	blue outfit means that the baby is wearing something blue
comet	2	4	high	2903656532011336349	5.98	correct	correct	correct	yes	109380144.jpg#3r1e	A girl playfully kicks a guy in the face while another person makes faces .	A girl is play fighting .	entailment	a girl who kicks another girl is playing	entailment	playfully kicks is a form of play fighting .
comet	2	5	low	2903656532011336349	5.98	wrong	correct	correct	yes	7788997944.jpg#3r1c	Two people are participating in the sport fencing .	Two people playing dodgeball	contradiction	the people can not be playing lacrosse and fencing at the same time	contradiction	either they are fencing or playing dodgeball .
